category,attribute1,attribute2,word_overlap,string_similarity,combined_score
familyRelationships,mother is baker,mother is osteopath,0.5,0.65,1.15
familyRelationships,mother is ballerina,mother is nurse,0.5,0.65,1.15
familyRelationships,mother is celebrity,mother is nurse,0.5,0.65,1.15
familyRelationships,mother is dentist,mother is teacher,0.5,0.65,1.15
familyRelationships,mother is homemaker,mother is nurse,0.5,0.65,1.15
familyRelationships,mother is immigrant,mother is nurse,0.5,0.65,1.15
familyRelationships,mother is librarian,mother is nurse,0.5,0.65,1.15
familyRelationships,wife is hairdresser,wife is teacher,0.5,0.65,1.15
familyRelationships,close to family,close to parents,0.5,0.65,1.15
familyRelationships,close to friends,close to mother,0.5,0.65,1.15
familyRelationships,close to mother,close to parents,0.5,0.65,1.15
familyRelationships,has older sister Mary,has sister,0.5,0.65,1.15
familyRelationships,has two children,has two mothers,0.5,0.65,1.15
familyRelationships,has two children,has two nephews,0.5,0.65,1.15
familyRelationships,has two children,has two sisters,0.5,0.65,1.15
familyRelationships,has two nephews,has two siblings,0.5,0.65,1.15
familyRelationships,has 3 children,has 3 siblings,0.5,0.64,1.14
familyRelationships,has 3 roommates,has 3 sisters,0.5,0.64,1.14
familyRelationships,has 4 children,has 4 siblings,0.5,0.64,1.14
familyRelationships,has 5 children,has 5 siblings,0.5,0.64,1.14
familyRelationships,has twins,has twins in family,0.5,0.64,1.14
familyRelationships,has two children,has two sons,0.5,0.64,1.14
familyRelationships,oldest of 5 children,youngest of 4 children,0.33,0.81,1.14
familyRelationships,oldest of 5 siblings,youngest of 3 siblings,0.33,0.81,1.14
familyRelationships,oldest of 5 siblings,youngest of 8 siblings,0.33,0.81,1.14
familyRelationships,oldest of 5 siblings,youngest of 9 siblings,0.33,0.81,1.14
familyRelationships,parents live in Florida,parents moved to Florida,0.33,0.81,1.14
familyRelationships,has 4 daughters,has daughter,0.25,0.89,1.14
familyRelationships,has best friend Calden,has sister as best friend,0.5,0.64,1.14
familyRelationships,has best friend Cayden,has sister as best friend,0.5,0.64,1.14
familyRelationships,has best friend nearby,has sister as best friend,0.5,0.64,1.14
familyRelationships,married,parents married,0.5,0.64,1.14
familyRelationships,parents,parents distant,0.5,0.64,1.14
familyRelationships,parents,parents married,0.5,0.64,1.14
familyRelationships,parents were scientists,parents were teachers,0.5,0.64,1.14
familyRelationships,has wife who is nurse,wife is school nurse,0.5,0.63,1.13
familyRelationships,lives with brother,lives with grandparents,0.5,0.63,1.13
familyRelationships,lives with grandparents,lives with sisters,0.5,0.63,1.13
familyRelationships,mother is ballerina,mother is weightlifter,0.5,0.63,1.13
familyRelationships,mother is homemaker,mother is weightlifter,0.5,0.63,1.13
familyRelationships,mother is immigrant,mother is weightlifter,0.5,0.63,1.13
familyRelationships,mother is librarian,mother is weightlifter,0.5,0.63,1.13
familyRelationships,deceased grandparents,helped grandparents,0.33,0.8,1.13
familyRelationships,father deceased,sister deceased,0.33,0.8,1.13
familyRelationships,has father,has grandfather,0.33,0.8,1.13
familyRelationships,has father,has mother,0.33,0.8,1.13
familyRelationships,has friends,has girlfriend,0.33,0.8,1.13
familyRelationships,has friends,values friends,0.33,0.8,1.13
familyRelationships,has grandmother,has mother,0.33,0.8,1.13
familyRelationships,has husband who is soldier,husband was soldier,0.33,0.8,1.13
familyRelationships,loves children,no children,0.33,0.8,1.13
familyRelationships,loves family,values family,0.33,0.8,1.13
familyRelationships,mother deceased,sister deceased,0.33,0.8,1.13
familyRelationships,mother is a teacher,mother is palm reader,0.33,0.8,1.13
familyRelationships,mother is cooking teacher,mother was school teacher,0.33,0.8,1.13
familyRelationships,mother is kindergarten teacher,mother is school music teacher,0.5,0.63,1.13
familyRelationships,oldest sibling,youngest sibling,0.33,0.8,1.13
familyRelationships,absent father,father,0.5,0.63,1.13
familyRelationships,both parents creative,lost both parents,0.5,0.63,1.13
familyRelationships,family,values family,0.5,0.63,1.13
familyRelationships,family,visits family,0.5,0.63,1.13
familyRelationships,father,father absent,0.5,0.63,1.13
familyRelationships,father,strict father,0.5,0.63,1.13
familyRelationships,father is journalist,father is mechanic,0.5,0.63,1.13
familyRelationships,father is journalist,father is preacher,0.5,0.63,1.13
familyRelationships,lives with boyfriend,lives with sisters,0.5,0.63,1.13
familyRelationships,mother,mother absent,0.5,0.63,1.13
familyRelationships,mother,mother single,0.5,0.63,1.13
familyRelationships,mother,single mother,0.5,0.63,1.13
familyRelationships,mother is Russian,mother is housekeeper,0.5,0.63,1.13
familyRelationships,mother is ballerina,mother is housemaid,0.5,0.63,1.13
familyRelationships,mother is ballerina,mother is immigrant,0.5,0.63,1.13
familyRelationships,mother is celebrity,mother is housemaid,0.5,0.63,1.13
familyRelationships,mother is celebrity,mother is immigrant,0.5,0.63,1.13
familyRelationships,mother is celebrity,mother is osteopath,0.5,0.63,1.13
familyRelationships,mother is homemaker,mother is librarian,0.5,0.63,1.13
familyRelationships,mother is housekeeper,mother is janitor,0.5,0.63,1.13
familyRelationships,mother is housemaid,mother is immigrant,0.5,0.63,1.13
familyRelationships,mother is housemaid,mother is librarian,0.5,0.63,1.13
familyRelationships,mother is immigrant,mother is osteopath,0.5,0.63,1.13
familyRelationships,mother is registered nurse,mother nurse,0.5,0.63,1.13
familyRelationships,mother is stay-at-home,stay-at-home mom,0.5,0.63,1.13
familyRelationships,has 2 brothers,has brother,0.25,0.88,1.13
familyRelationships,has 3 brothers,has brother,0.25,0.88,1.13
familyRelationships,has 8 brothers,has brother,0.25,0.88,1.13
familyRelationships,best friend,best friend lives nearby,0.5,0.63,1.13
familyRelationships,best friend betrayal,has best friend,0.5,0.63,1.13
familyRelationships,father is dentist,father is military,0.5,0.63,1.13
familyRelationships,father is dentist,father is preacher,0.5,0.63,1.13
familyRelationships,father was bartender,father was cook,0.5,0.63,1.13
familyRelationships,has four children,has four daughters,0.5,0.63,1.13
familyRelationships,has four daughters,has four siblings,0.5,0.63,1.13
familyRelationships,mother is housemaid,mother is lawyer,0.5,0.63,1.13
familyRelationships,mother is immigrant,mother is lawyer,0.5,0.63,1.13
familyRelationships,mother is lawyer,mother is osteopath,0.5,0.63,1.13
familyRelationships,has best friend Abigail,has sister as best friend,0.5,0.62,1.12
familyRelationships,has six brothers,has six siblings,0.5,0.62,1.12
familyRelationships,has two brothers,has two children,0.5,0.62,1.12
familyRelationships,has two brothers,has two siblings,0.5,0.62,1.12
familyRelationships,no parents,no parents or siblings,0.5,0.62,1.12
familyRelationships,oldest of siblings,oldest sibling,0.25,0.88,1.12
familyRelationships,has one child,has one daughter,0.5,0.62,1.12
familyRelationships,has one child,has one grandson,0.5,0.62,1.12
familyRelationships,has 2 sisters,has sister,0.25,0.87,1.12
familyRelationships,has 3 sisters,has sister,0.25,0.87,1.12
familyRelationships,has sister-in-law,sister-in-law dislikes me,0.5,0.62,1.12
familyRelationships,parents are scientists,parents are teachers,0.5,0.62,1.12
familyRelationships,has brothers,has identical twin brothers,0.5,0.62,1.12
familyRelationships,wife,wife left,0.5,0.62,1.12
familyRelationships,best friend,best friend from Tanzania,0.5,0.61,1.11
familyRelationships,mother is Russian,mother is homemaker,0.5,0.61,1.11
familyRelationships,mother is dentist,mother is homemaker,0.5,0.61,1.11
familyRelationships,mother is dentist,mother is housemaid,0.5,0.61,1.11
familyRelationships,mother is dentist,mother is librarian,0.5,0.61,1.11
familyRelationships,mother is housemaid,mother is janitor,0.5,0.61,1.11
familyRelationships,mother is immigrant,mother is teacher,0.5,0.61,1.11
familyRelationships,mother is librarian,mother is teacher,0.5,0.61,1.11
familyRelationships,dislikes parents,parents,0.5,0.61,1.11
familyRelationships,divorced parents,parents,0.5,0.61,1.11
familyRelationships,father is a mechanic,father is a police officer,0.5,0.61,1.11
familyRelationships,has one son,has son Owen,0.5,0.61,1.11
familyRelationships,husband,husband deceased,0.5,0.61,1.11
familyRelationships,parents,parents deceased,0.5,0.61,1.11
familyRelationships,parents,parents divorced,0.5,0.61,1.11
familyRelationships,mother is housekeeper,mother is weightlifter,0.5,0.6,1.1
familyRelationships,mother of two,mother of two high school boys,0.5,0.6,1.1
familyRelationships,family,family support,0.5,0.6,1.1
familyRelationships,family,family travels,0.5,0.6,1.1
familyRelationships,father,missing father,0.5,0.6,1.1
familyRelationships,has one grandson,has one sister,0.5,0.6,1.1
familyRelationships,has several unknown siblings,has siblings,0.5,0.6,1.1
familyRelationships,has son,son,0.5,0.6,1.1
familyRelationships,lives with grandparents,lives with mother,0.5,0.6,1.1
familyRelationships,mother is ballerina,mother is housekeeper,0.5,0.6,1.1
familyRelationships,mother is hairdresser,mother is librarian,0.5,0.6,1.1
familyRelationships,sister,sister Madonna,0.5,0.6,1.1
familyRelationships,has 8 grandchildren,has grandchild,0.25,0.85,1.1
familyRelationships,expecting first child,first born child,0.5,0.59,1.09
familyRelationships,mother is nurse,mother is weightlifter,0.5,0.59,1.09
familyRelationships,father has red hair,red hair,0.5,0.59,1.09
familyRelationships,has 2 children,has 2 sisters,0.5,0.59,1.09
familyRelationships,has 3 children,has 3 sisters,0.5,0.59,1.09
familyRelationships,has one daughter,has one son,0.5,0.59,1.09
familyRelationships,mother has red hair,red hair,0.5,0.59,1.09
familyRelationships,mother is elementary school music teacher,mother is teacher,0.5,0.59,1.09
familyRelationships,husband is firefighter,husband is salesman,0.5,0.59,1.09
familyRelationships,mother is housemaid,mother is weightlifter,0.5,0.59,1.09
familyRelationships,mother is osteopath,mother is weightlifter,0.5,0.59,1.09
familyRelationships,has stay at home mom,has wife who is stay-at-home,0.5,0.58,1.08
familyRelationships,parents,parents immigrant,0.5,0.58,1.08
familyRelationships,has two mothers,has two siblings,0.5,0.58,1.08
familyRelationships,mother is ballerina,mother is osteopath,0.5,0.58,1.08
familyRelationships,mother is dentist,mother is housekeeper,0.5,0.58,1.08
familyRelationships,mother is homemaker,mother is osteopath,0.5,0.58,1.08
familyRelationships,mother is housemaid,mother is osteopath,0.5,0.58,1.08
familyRelationships,mother is librarian,mother is osteopath,0.5,0.58,1.08
familyRelationships,best friend lives nearby,lives with best friend,0.6,0.48,1.08
familyRelationships,parents are scientists,parents are unreligious,0.5,0.58,1.08
familyRelationships,has daughters,has one daughter,0.25,0.83,1.08
familyRelationships,has grandsons,has one grandson,0.25,0.83,1.08
familyRelationships,has twin brother,has two brothers,0.2,0.88,1.07
familyRelationships,has girlfriend,has many girlfriends,0.25,0.82,1.07
familyRelationships,cares for mother,mother cares for grandmother on weekdays,0.5,0.57,1.07
familyRelationships,dislikes family,family,0.5,0.57,1.07
familyRelationships,family,family oriented,0.5,0.57,1.07
familyRelationships,father,father deceased,0.5,0.57,1.07
familyRelationships,has 2 brothers,has 2 children,0.5,0.57,1.07
familyRelationships,has 3 brothers,has 3 children,0.5,0.57,1.07
familyRelationships,has 3 brothers,has 3 siblings,0.5,0.57,1.07
familyRelationships,has two boys,has two children,0.5,0.57,1.07
familyRelationships,mother,mother deceased,0.5,0.57,1.07
familyRelationships,sister,sister deceased,0.5,0.57,1.07
familyRelationships,girlfriend pregnant,girlfriend's parents,0.25,0.82,1.07
familyRelationships,has 8 grandchildren,values grandchildren,0.25,0.82,1.07
familyRelationships,has twin sister,has two sisters,0.2,0.87,1.07
familyRelationships,has brother,has six brothers,0.25,0.81,1.06
familyRelationships,has brother,has two brothers,0.25,0.81,1.06
familyRelationships,mother is Russian,mother is weightlifter,0.5,0.56,1.06
familyRelationships,close to brothers,close to family,0.5,0.56,1.06
familyRelationships,has one daughter,has one grandson,0.5,0.56,1.06
familyRelationships,has son,has son named Owen,0.5,0.56,1.06
familyRelationships,has 3 children,has 3 roommates,0.5,0.55,1.05
familyRelationships,has 4 children,has 4 daughters,0.5,0.55,1.05
familyRelationships,has 4 daughters,has 4 siblings,0.5,0.55,1.05
familyRelationships,parents have red hair,red hair,0.5,0.55,1.05
familyRelationships,has daughter,has four daughters,0.25,0.8,1.05
familyRelationships,has mother,has two mothers,0.25,0.8,1.05
familyRelationships,has nephew,has two nephews,0.25,0.8,1.05
familyRelationships,has sister,has two sisters,0.25,0.8,1.05
familyRelationships,has younger sibling,youngest sibling,0.25,0.8,1.05
familyRelationships,mother is hairdresser,mother is immigrant,0.5,0.55,1.05
familyRelationships,mother is hairdresser,mother is osteopath,0.5,0.55,1.05
familyRelationships,mother is housekeeper,mother is immigrant,0.5,0.55,1.05
familyRelationships,mother is housekeeper,mother is librarian,0.5,0.55,1.05
familyRelationships,mother is housekeeper,mother is osteopath,0.5,0.55,1.05
familyRelationships,poor family,poor relationship with family,0.5,0.55,1.05
familyRelationships,has 1 child,has 13 children,0.2,0.85,1.05
familyRelationships,estranged sister,sister,0.5,0.55,1.05
familyRelationships,has 8 brothers,has 8 grandchildren,0.5,0.55,1.05
familyRelationships,mother,mother immigrant,0.5,0.55,1.05
familyRelationships,youngest of 3 siblings,youngest sibling,0.2,0.84,1.04
familyRelationships,youngest of 5 siblings,youngest sibling,0.2,0.84,1.04
familyRelationships,youngest of 8 siblings,youngest sibling,0.2,0.84,1.04
familyRelationships,youngest of 9 siblings,youngest sibling,0.2,0.84,1.04
familyRelationships,has 4 daughters,has one daughter,0.2,0.84,1.04
familyRelationships,husband,husband firefighter,0.5,0.54,1.04
familyRelationships,has four siblings,has younger sibling,0.2,0.83,1.03
familyRelationships,has one sister,has two sisters,0.2,0.83,1.03
familyRelationships,has four daughters,has one daughter,0.2,0.82,1.02
familyRelationships,oldest of 5 siblings,oldest sibling,0.2,0.82,1.02
familyRelationships,family,supportive family,0.5,0.52,1.02
familyRelationships,mother,supportive mother,0.5,0.52,1.02
familyRelationships,has 2 sisters,has one sister,0.2,0.81,1.01
familyRelationships,has 3 sisters,has one sister,0.2,0.81,1.01
familyRelationships,father is author,father was actor,0.2,0.81,1.01
familyRelationships,father is doctor,father was actor,0.2,0.81,1.01
familyRelationships,has four sisters,has older sister,0.2,0.81,1.01
familyRelationships,has six brothers,has twin brother,0.2,0.81,1.01
familyRelationships,father is preacher,mother is teacher,0.2,0.8,1.0
familyRelationships,has 1 child,has 2 children,0.2,0.8,1.0
familyRelationships,has 1 child,has 3 children,0.2,0.8,1.0
familyRelationships,has 1 child,has 4 children,0.2,0.8,1.0
familyRelationships,has 1 child,has 5 children,0.2,0.8,1.0
familyRelationships,has 2 brothers,has twin brother,0.2,0.8,1.0
familyRelationships,has 3 brothers,has twin brother,0.2,0.8,1.0
familyRelationships,has 8 brothers,has twin brother,0.2,0.8,1.0
familyRelationships,has four sisters,has one sister,0.2,0.8,1.0
familyRelationships,has one daughter,has three daughters,0.2,0.8,1.0
familyRelationships,mother single,single mother raised me,0.5,0.5,1.0
familyRelationships,has 3 roommates,has 3 siblings,0.5,0.48,0.98
familyRelationships,mother,mother hospitalized,0.5,0.48,0.98
familyRelationships,wife,wife survivor,0.5,0.47,0.97
familyRelationships,best friend lives in Japan,lives with best friend,0.5,0.46,0.96
familyRelationships,has 4-year-old son,has son age 4,0.5,0.45,0.95
familyRelationships,distant from father,father from India,0.5,0.44,0.94
familyRelationships,distant from father,father from Japan,0.5,0.44,0.94
familyRelationships,mother single,raised by single mother,0.5,0.44,0.94
familyRelationships,daughter,daughters,0.0,0.94,0.94
familyRelationships,parent,parents,0.0,0.92,0.92
familyRelationships,father has red hair,has father,0.5,0.41,0.91
familyRelationships,has mother,mother has red hair,0.5,0.41,0.91
familyRelationships,estranged from parents,parents from Japan,0.5,0.35,0.85
familyRelationships,father has prestigious job,has father,0.5,0.33,0.83
familyRelationships,grandfather,grandmother,0.0,0.82,0.82
favoritesAndPreferences,A Fine Frenzy,a fine frenzy,1.0,1.0,2.0
favoritesAndPreferences,Alexander McQueen,alexander mcqueen,1.0,1.0,2.0
favoritesAndPreferences,Battlestar Galactica,battlestar galactica,1.0,1.0,2.0
favoritesAndPreferences,Bible,bible,1.0,1.0,2.0
favoritesAndPreferences,Bruno Mars,bruno mars,1.0,1.0,2.0
favoritesAndPreferences,Chevrolet,chevrolet,1.0,1.0,2.0
favoritesAndPreferences,Chevrolet car,chevrolet car,1.0,1.0,2.0
favoritesAndPreferences,Christian electronic dance music,christian electronic dance music,1.0,1.0,2.0
favoritesAndPreferences,Coca-Cola,coca-cola,1.0,1.0,2.0
favoritesAndPreferences,Coco Chanel,coco chanel,1.0,1.0,2.0
favoritesAndPreferences,Costco,costco,1.0,1.0,2.0
favoritesAndPreferences,Cuba Libre,cuba libre,1.0,1.0,2.0
favoritesAndPreferences,Ender's Game,ender's game,1.0,1.0,2.0
favoritesAndPreferences,Ferrari,ferrari,1.0,1.0,2.0
favoritesAndPreferences,French vanilla coffee,french vanilla coffee,1.0,1.0,2.0
favoritesAndPreferences,Game of Thrones,game of thrones,1.0,1.0,2.0
favoritesAndPreferences,Insane Clown Posse,insane clown posse,1.0,1.0,2.0
favoritesAndPreferences,Iron Maiden,iron maiden,1.0,1.0,2.0
favoritesAndPreferences,Italian food,italian food,1.0,1.0,2.0
favoritesAndPreferences,Jacob Sartorius,jacob sartorius,1.0,1.0,2.0
favoritesAndPreferences,Jello,jello,1.0,1.0,2.0
favoritesAndPreferences,McDonald's,mcdonald's,1.0,1.0,2.0
favoritesAndPreferences,Metallica,metallica,1.0,1.0,2.0
favoritesAndPreferences,New York City,new york city,1.0,1.0,2.0
favoritesAndPreferences,Nickelback,nickelback,1.0,1.0,2.0
favoritesAndPreferences,Nike cleats,nike cleats,1.0,1.0,2.0
favoritesAndPreferences,Pepsi,pepsi,1.0,1.0,2.0
favoritesAndPreferences,Pink Floyd,pink floyd,1.0,1.0,2.0
favoritesAndPreferences,Pride and Prejudice,pride and prejudice,1.0,1.0,2.0
favoritesAndPreferences,Radiohead,radiohead,1.0,1.0,2.0
favoritesAndPreferences,Starbucks coffee,starbucks coffee,1.0,1.0,2.0
favoritesAndPreferences,Stephen King,stephen king,1.0,1.0,2.0
favoritesAndPreferences,The Rolling Stones,the rolling stones,1.0,1.0,2.0
favoritesAndPreferences,Titanic,titanic,1.0,1.0,2.0
favoritesAndPreferences,Tom and Jerry,tom and jerry,1.0,1.0,2.0
favoritesAndPreferences,dislikes Mexican food,dislikes mexican food,1.0,1.0,2.0
favoritesAndPreferences,drives Honda Civic,drives honda civic,1.0,1.0,2.0
favoritesAndPreferences,drives Prius,drives prius,1.0,1.0,2.0
favoritesAndPreferences,drives blue Honda Civic,drives blue honda civic,1.0,1.0,2.0
favoritesAndPreferences,drives silver Lexus,drives silver lexus,1.0,1.0,2.0
favoritesAndPreferences,favorite author: Stephen King,favorite author: stephen king,1.0,1.0,2.0
favoritesAndPreferences,favorite band The Muggers,favorite band the muggers,1.0,1.0,2.0
favoritesAndPreferences,favorite band: The Avett Brothers,favorite band: the avett brothers,1.0,1.0,2.0
favoritesAndPreferences,favorite book: The Tale of Genii,favorite book: the tale of genii,1.0,1.0,2.0
favoritesAndPreferences,favorite movie: Pretty Woman,favorite movie: pretty woman,1.0,1.0,2.0
favoritesAndPreferences,favorite movie: Star Wars,favorite movie: star wars,1.0,1.0,2.0
favoritesAndPreferences,favorite singer: Taylor Swift,favorite singer: taylor swift,1.0,1.0,2.0
favoritesAndPreferences,likes Cheetos,likes cheetos,1.0,1.0,2.0
favoritesAndPreferences,likes Cher,likes cher,1.0,1.0,2.0
favoritesAndPreferences,likes French fries,likes french fries,1.0,1.0,2.0
favoritesAndPreferences,likes Indian food,likes indian food,1.0,1.0,2.0
favoritesAndPreferences,likes Italian food,likes italian food,1.0,1.0,2.0
favoritesAndPreferences,likes McDonald's,likes mcdonald's,1.0,1.0,2.0
favoritesAndPreferences,likes The Beatles,likes the Beatles,1.0,1.0,2.0
favoritesAndPreferences,owns iPhone,owns iphone,1.0,1.0,2.0
favoritesAndPreferences,the Beatles,the beatles,1.0,1.0,2.0
favoritesAndPreferences,favorite food spaghetti and meatballs,favorite food: spaghetti and meatballs,1.0,0.99,1.99
favoritesAndPreferences,favorite team Washington Nationals,favorite team: Washington Nationals,1.0,0.99,1.99
favoritesAndPreferences,favorite band The Rolling Stones,favorite band: The Rolling Stones,1.0,0.98,1.98
favoritesAndPreferences,favorite band The Story So Far,favorite band: The Story So Far,1.0,0.98,1.98
favoritesAndPreferences,favorite singer Britney Spears,favorite singer: Britney Spears,1.0,0.98,1.98
favoritesAndPreferences,favorite singer Jess Greenberg,favorite singer: Jess Greenberg,1.0,0.98,1.98
favoritesAndPreferences,favorite show Game of Thrones,favorite show: Game of Thrones,1.0,0.98,1.98
favoritesAndPreferences,favorite season duck hunting,favorite season: duck hunting,1.0,0.98,1.98
favoritesAndPreferences,favorite band A Fine Frenzy,favorite band: A Fine Frenzy,1.0,0.98,1.98
favoritesAndPreferences,favorite band Dream Theater,favorite band: Dream Theater,1.0,0.98,1.98
favoritesAndPreferences,favorite band Guns N' Roses,favorite band: Guns N' Roses,1.0,0.98,1.98
favoritesAndPreferences,favorite band One Direction,favorite band: One Direction,1.0,0.98,1.98
favoritesAndPreferences,favorite movie Good Burger,favorite movie: Good Burger,1.0,0.98,1.98
favoritesAndPreferences,favorite band The Beatles,favorite band: The Beatles,1.0,0.98,1.98
favoritesAndPreferences,favorite band The Muggers,favorite band: The Muggers,1.0,0.98,1.98
favoritesAndPreferences,favorite band the muggers,favorite band: The Muggers,1.0,0.98,1.98
favoritesAndPreferences,favorite movie Magic Mike,favorite movie: Magic Mike,1.0,0.98,1.98
favoritesAndPreferences,favorite movie star wars,favorite movie: Star Wars,1.0,0.98,1.98
favoritesAndPreferences,favorite movie star wars,favorite movie: star wars,1.0,0.98,1.98
favoritesAndPreferences,favorite superhero Flash,favorite superhero: Flash,1.0,0.98,1.98
favoritesAndPreferences,favorite band Hop Along,favorite band: Hop Along,1.0,0.98,1.98
favoritesAndPreferences,favorite class painting,favorite class: painting,1.0,0.98,1.98
favoritesAndPreferences,favorite food hamburger,favorite food: hamburger,1.0,0.98,1.98
favoritesAndPreferences,favorite show face/off,favorite show: Face/Off,1.0,0.98,1.98
favoritesAndPreferences,movie Django Unchained,movie: Django Unchained,1.0,0.98,1.98
favoritesAndPreferences,favorite band Nirvana,favorite band: Nirvana,1.0,0.98,1.98
favoritesAndPreferences,favorite sport hockey,favorite sport: hockey,1.0,0.98,1.98
favoritesAndPreferences,favorite color black,favorite color: black,1.0,0.98,1.98
favoritesAndPreferences,favorite color green,favorite color: green,1.0,0.98,1.98
favoritesAndPreferences,favorite fruit apple,favorite fruit: apple,1.0,0.98,1.98
favoritesAndPreferences,favorite food pizza,favorite food: pizza,1.0,0.97,1.97
favoritesAndPreferences,favorite food steak,favorite food: steak,1.0,0.97,1.97
favoritesAndPreferences,favorite jello blue,favorite jello: blue,1.0,0.97,1.97
favoritesAndPreferences,color hunter green,color: hunter green,1.0,0.97,1.97
favoritesAndPreferences,favorite color red,favorite color: red,1.0,0.97,1.97
favoritesAndPreferences,favorite number 7,favorite number: 7,1.0,0.97,1.97
favoritesAndPreferences,car color black,car color: black,1.0,0.97,1.97
favoritesAndPreferences,food hamburger,food: hamburger,1.0,0.97,1.97
favoritesAndPreferences,movie Titanic,movie: Titanic,1.0,0.96,1.96
favoritesAndPreferences,color purple,color: purple,1.0,0.96,1.96
favoritesAndPreferences,color blue,color: blue,1.0,0.95,1.95
favoritesAndPreferences,color red,color: red,1.0,0.95,1.95
favoritesAndPreferences,drives blue large van,drives large blue van,1.0,0.76,1.76
favoritesAndPreferences,likes All-American Rejects,likes The All-American Rejects,0.8,0.93,1.73
favoritesAndPreferences,likes Gone with the Wind,likes movie Gone with the Wind,0.83,0.89,1.72
favoritesAndPreferences,eats eggs for breakfast,eats six eggs for breakfast,0.8,0.92,1.72
favoritesAndPreferences,Queens of the Stone Age,likes Queens of the Stone Age,0.83,0.88,1.72
favoritesAndPreferences,favorite movie: The Last of the Mohicans,movie: The Last of the Mohicans,0.83,0.87,1.71
favoritesAndPreferences,likes movie Gone with the Wind,movie: Gone with the Wind,0.83,0.87,1.71
favoritesAndPreferences,crab dipped in butter,eats crab dipped in butter,0.8,0.89,1.69
favoritesAndPreferences,McDonald's French fries,likes McDonald's French fries,0.8,0.88,1.68
favoritesAndPreferences,favorite movie: Gone with the Wind,movie: Gone with the Wind,0.83,0.85,1.68
favoritesAndPreferences,drinks protein powder with water,protein powder with water,0.8,0.88,1.68
favoritesAndPreferences,likes Red Hot Chili Peppers,red hot chili peppers,0.8,0.88,1.68
favoritesAndPreferences,The Last of the Mohicans,movie: The Last of the Mohicans,0.8,0.87,1.67
favoritesAndPreferences,book: The Tale of Genii,favorite book: The Tale of Genii,0.83,0.84,1.67
favoritesAndPreferences,book: The Tale of Genii,favorite book: the tale of genii,0.83,0.84,1.67
favoritesAndPreferences,favorite color: orange,favorite color: red-orange,0.75,0.92,1.67
favoritesAndPreferences,eats McDonald's,eats at McDonald's,0.75,0.91,1.66
favoritesAndPreferences,has high-speed internet,high-speed internet,0.75,0.9,1.65
favoritesAndPreferences,favorite video game character: Mileena,favorite video game character: Milena,0.67,0.99,1.65
favoritesAndPreferences,The Tale of Genii,book: The Tale of Genii,0.8,0.85,1.65
favoritesAndPreferences,Ariel (Disney character),likes Ariel (Disney character),0.75,0.89,1.64
favoritesAndPreferences,eats at restaurants,eats only at restaurants,0.75,0.88,1.63
favoritesAndPreferences,owns Ford F-150,owns black Ford F-150,0.8,0.83,1.63
favoritesAndPreferences,chocolate chip cookies,likes chocolate chip cookies,0.75,0.88,1.63
favoritesAndPreferences,drives Honda Civic,drives blue Honda Civic,0.75,0.88,1.63
favoritesAndPreferences,drives Honda Civic,drives blue honda civic,0.75,0.88,1.63
favoritesAndPreferences,drives blue Honda Civic,drives honda civic,0.75,0.88,1.63
favoritesAndPreferences,drives blue honda civic,drives honda civic,0.75,0.88,1.63
favoritesAndPreferences,Tigers baseball team,likes Tigers baseball team,0.75,0.87,1.62
favoritesAndPreferences,likes The Pretenders,likes The Pretenders music,0.75,0.87,1.62
favoritesAndPreferences,favorite book: Twilight,favorite book: Twilight series,0.75,0.87,1.62
favoritesAndPreferences,drives blue large van,drives large van,0.75,0.86,1.61
favoritesAndPreferences,drives large blue van,drives large van,0.75,0.86,1.61
favoritesAndPreferences,Neil deGrasse Tyson,likes Neil deGrasse Tyson,0.75,0.86,1.61
favoritesAndPreferences,likes macaroni and cheese,macaroni and cheese,0.75,0.86,1.61
favoritesAndPreferences,likes mystery flavor cake,mystery flavor cake,0.75,0.86,1.61
favoritesAndPreferences,The Rolling Stones,likes The Rolling Stones,0.75,0.86,1.61
favoritesAndPreferences,likes The Rolling Stones,the rolling stones,0.75,0.86,1.61
favoritesAndPreferences,actor Robert De Niro,favorite actor: Robert De Niro,0.8,0.8,1.6
favoritesAndPreferences,steak well-done,well-done steak,1.0,0.6,1.6
favoritesAndPreferences,favorite color: red,favorite color: red-orange,0.75,0.84,1.59
favoritesAndPreferences,author: Nicholas Sparks,favorite author: Nicholas Sparks,0.75,0.84,1.59
favoritesAndPreferences,book: David Copperfield,favorite book: David Copperfield,0.75,0.84,1.59
favoritesAndPreferences,drives blue large van,drives blue van,0.75,0.83,1.58
favoritesAndPreferences,drives blue van,drives large blue van,0.75,0.83,1.58
favoritesAndPreferences,likes cheesy hot dog,likes cheesy hot dogs,0.6,0.98,1.58
favoritesAndPreferences,likes chili corn dog,likes chili corn dogs,0.6,0.98,1.58
favoritesAndPreferences,eats ice cream,eats ice cream daily,0.75,0.82,1.57
favoritesAndPreferences,favorite magician: Penn & Teller,favorite magicians Penn & Teller,0.6,0.97,1.57
favoritesAndPreferences,favorite color red,favorite color: red-orange,0.75,0.82,1.57
favoritesAndPreferences,k-pop music,pop music,0.67,0.9,1.57
favoritesAndPreferences,likes non-GMO foods,non-GMO foods,0.75,0.81,1.56
favoritesAndPreferences,favorite movie: Pretty Woman,movie: Pretty Woman,0.75,0.81,1.56
